['619', '830', '77', '588', '657', '919', '98', '104', '783', '237', '718', '31', '103', '92', '163', '447', '800', '149']
['394', '111', '920', '754', '508', '752', '64', '197', '734', '863', '557', '961', '880', '11', '849', '784', '105', '537']
['287', '210', '366', '792', '845', '994', '585', '307', '993', '476', '689', '571', '664', '54', '623', '109', '583', '419']
['153', '869', '23', '933', '341', '172', '41', '146', '141', '693', '14', '513', '755', '322', '829', '51', '997', '30']
['450', '374', '576', '525', '236', '948', '174', '641', '363', '93', '981', '574', '401', '491', '841', '808', '19', '300']
['473', '989', '386', '132', '67', '716', '272', '807', '94', '367', '75', '159', '601', '496', '852', '355', '884', '694']
['767', '211', '82', '259', '397', '492', '416', '431', '60', '794', '986', '158', '110', '932', '27', '901', '568', '192']
['592', '207', '899', '570', '616', '751', '827', '680', '868', '143', '168', '106', '139', '112', '949', '996', '368', '780']
['638', '249', '100', '117', '651', '115', '389', '539', '774', '477', '339', '252', '972', '490', '577', '956', '119', '436']
['297', '244', '202', '118', '175', '24', '725', '184', '698', '860', '471', '304', '777', '157', '749', '669', '842', '741']
['329', '864', '700', '200', '201', '71', '775', '798', '635', '274', '668', '150', '213', '215', '904', '761', '282', '605']
['660', '148', '422', '873', '88', '679', '387', '375', '238', '757', '121', '466', '147', '487', '970', '333', '622', '613']
['825', '279', '356', '37', '940', '446', '957', '402', '441', '984', '89', '554', '321', '615', '12', '848', '1', '683']
['763', '629', '861', '34', '26', '451', '804', '881', '80', '510', '288', '162', '152', '867', '472', '865', '543', '582']
['91', '604', '443', '532', '882', '353', '978', '294', '165', '484', '946', '563', '379', '486', '667', '610', '470', '218']
['671', '504', '833', '885', '395', '684', '579', '538', '509', '372', '516', '611', '500', '10', '302', '183', '214', '73']
['900', '44', '548', '547', '245', '843', '410', '298', '691', '29', '673', '918', '983', '815', '753', '123', '862', '626']
['788', '344', '301', '709', '654', '482', '636', '417', '334', '501', '663', '786', '550', '429', '308', '193', '999', '144']
['902', '102', '737', '221', '824', '743', '393', '795', '520', '305', '923', '711', '853', '793', '890', '527', '475', '502']
['348', '992', '391', '187', '595', '420', '69', '530', '599', '53', '281', '552', '243', '414', '707', '507', '296', '194']
['799', '686', '526', '457', '156', '609', '318', '101', '770', '620', '241', '381', '424', '834', '6', '806', '415', '632']
['624', '742', '268', '541', '687', '602', '133', '291', '928', '811', '78', '785', '323', '275', '277', '231', '382', '859']
['404', '445', '55', '977', '912', '703', '820', '837', '549', '242', '871', '315', '497', '951', '723', '469', '278', '137']
['896', '960', '877', '955', '812', '83', '819', '74', '907', '878', '15', '438', '505', '782', '352', '772', '212', '745']
['906', '400', '941', '45', '96', '930', '545', '260', '181', '403', '460', '534', '63', '32', '911', '717', '796', '388']
