['191', '565', '753', '939', '138', '709', '747', '221', '166', '503', '102', '558', '142', '718', '209', '756', '582', '701', '442', '302']
['244', '632', '55', '878', '675', '471', '746', '337', '953', '599', '65', '645', '279', '27', '985', '193', '273', '123', '462', '45']
['762', '476', '745', '89', '715', '502', '79', '181', '445', '796', '303', '664', '282', '504', '540', '84', '527', '993', '885', '391']
['291', '894', '634', '242', '548', '900', '458', '845', '972', '36', '898', '610', '482', '577', '714', '293', '809', '892', '764', '386']
['987', '736', '519', '815', '951', '59', '532', '22', '737', '363', '68', '219', '688', '518', '777', '198', '95', '860', '607', '569']
['509', '705', '240', '724', '849', '843', '887', '425', '633', '225', '437', '884', '541', '6', '402', '920', '800', '587', '739', '90']
['609', '948', '271', '839', '742', '496', '929', '864', '246', '590', '152', '922', '967', '744', '871', '611', '559', '755', '42', '114']
['827', '294', '862', '666', '176', '31', '551', '51', '297', '603', '950', '301', '427', '103', '602', '925', '911', '581', '78', '687']
['360', '46', '249', '560', '554', '915', '566', '696', '682', '600', '347', '717', '975', '636', '780', '127', '669', '766', '20', '743']
['619', '217', '974', '997', '309', '913', '315', '676', '274', '64', '773', '358', '405', '292', '283', '478', '646', '790', '234', '720']
['689', '783', '594', '269', '316', '163', '414', '867', '592', '949', '841', '989', '512', '250', '679', '14', '491', '350', '583', '194']
['419', '288', '382', '557', '802', '608', '584', '66', '305', '901', '819', '35', '361', '995', '936', '277', '126', '439', '113', '431']
['514', '69', '812', '627', '555', '698', '58', '918', '793', '966', '738', '880', '576', '81', '946', '270', '263', '888', '808', '635']
['573', '853', '733', '227', '699', '595', '349', '77', '702', '24', '591', '207', '229', '98', '233', '119', '97', '167', '410', '357']
['914', '639', '333', '934', '740', '848', '956', '823', '281', '399', '976', '174', '511', '999', '652', '37', '825', '500', '137', '704']
['596', '284', '389', '838', '575', '840', '310', '296', '759', '54', '494', '659', '935', '160', '443', '707', '574', '334', '528', '719']
['356', '364', '38', '821', '440', '791', '681', '133', '474', '459', '99', '544', '778', '378', '781', '60', '692', '387', '481', '86']
['436', '716', '73', '323', '248', '432', '62', '376', '552', '606', '325', '107', '520', '957', '256', '579', '604', '159', '453', '963']
['164', '977', '106', '253', '970', '873', '708', '754', '794', '813', '236', '230', '307', '677', '143', '367', '452', '345', '978', '322']
['772', '171', '32', '909', '721', '185', '803', '179', '615', '730', '87', '298', '622', '538', '390', '129', '870', '620', '206', '958']
['370', '128', '116', '647', '237', '562', '992', '943', '121', '295', '940', '420', '834', '694', '285', '311', '820', '115', '7', '260']
['92', '851', '842', '624', '75', '111', '351', '921', '381', '968', '517', '782', '522', '990', '814', '947', '988', '150', '937', '395']
['134', '446', '375', '67', '34', '926', '319', '147', '424', '488', '287', '392', '178', '306', '757', '231', '824', '986', '613', '109']
['905', '21', '265', '510', '994', '326', '131', '955', '394', '927', '156', '662', '369', '417', '470', '139', '846', '41', '397', '731']
['344', '441', '332', '896', '799', '625', '346', '539', '531', '320', '155', '543', '546', '792', '280', '654', '359', '223', '449', '257']
['930', '964', '467', '505', '697', '561', '200', '526', '768', '830', '204', '83', '749', '39', '372', '5', '188', '928', '811', '342']
['712', '88', '981', '403', '304', '750', '365', '982', '954', '373', '770', '729', '952', '523', '422', '485', '401', '61', '475', '438']
['822', '245', '149', '262', '530', '124', '924', '199', '56', '321', '33', '786', '144', '668', '722', '710', '787', '695', '877', '118']
['101', '318', '960', '2', '368', '177', '12', '537', '763', '784', '529', '413', '479', '638', '881', '195', '455', '213', '912', '4']
['661', '665', '141', '653', '451', '617', '19', '145', '412', '816', '40', '146', '222', '767', '833', '795', '168', '923', '672', '996']
