['0', '600', '393', '750', '78', '249', '589', '779', '20', '203', '757', '290', '372', '704', '498', '825', '171', '367']
['492', '315', '193', '834', '53', '927', '894', '472', '673', '433', '182', '129', '759', '668', '369', '922', '966', '564']
['833', '818', '490', '610', '305', '493', '569', '297', '800', '400', '939', '284', '652', '422', '672', '989', '906', '826']
['138', '538', '179', '961', '31', '94', '510', '615', '997', '244', '986', '386', '848', '767', '583', '597', '780', '970']
['49', '852', '325', '452', '65', '206', '495', '720', '832', '96', '172', '844', '299', '714', '777', '191', '732', '282']
['823', '152', '674', '128', '250', '678', '311', '560', '737', '256', '862', '900', '863', '533', '586', '26', '904', '251']
['878', '166', '437', '698', '264', '15', '530', '389', '331', '975', '657', '632', '660', '693', '622', '30', '882', '2']
['156', '582', '4', '593', '520', '588', '371', '781', '71', '267', '559', '513', '788', '724', '14', '343', '621', '919']
['383', '855', '407', '475', '174', '967', '813', '276', '700', '646', '827', '891', '245', '918', '39', '902', '801', '18']
['146', '847', '556', '629', '984', '358', '323', '603', '413', '756', '908', '447', '805', '656', '799', '45', '851', '242']
['374', '911', '798', '491', '356', '23', '80', '983', '363', '75', '33', '584', '773', '213', '205', '879', '279', '553']
['74', '525', '938', '612', '536', '523', '793', '225', '860', '391', '224', '261', '332', '390', '631', '611', '814', '812']
['948', '976', '304', '336', '424', '699', '480', '349', '286', '684', '298', '58', '547', '682', '775', '618', '998', '934']
['202', '7', '587', '67', '373', '165', '905', '531', '541', '175', '428', '518', '155', '170', '416', '79', '385', '116']
['239', '715', '858', '337', '230', '803', '821', '394', '942', '907', '988', '277', '220', '487', '235', '471', '790', '307']
['459', '107', '197', '754', '101', '849', '406', '691', '167', '557', '696', '996', '255', '570', '705', '181', '973', '909']
['482', '454', '32', '609', '501', '735', '734', '10', '903', '63', '613', '968', '46', '964', '346', '772', '199', '608']
['726', '649', '819', '3', '995', '619', '795', '287', '375', '56', '470', '357', '334', '38', '419', '529', '207', '61']
['824', '723', '675', '733', '828', '574', '753', '104', '456', '579', '770', '458', '150', '442', '708', '537', '854', '910']
['992', '11', '317', '928', '73', '183', '47', '41', '109', '562', '464', '830', '280', '873', '489', '867', '990', '184']
['378', '103', '877', '550', '344', '598', '316', '642', '1', '845', '728', '303', '143', '388', '683', '943', '857', '275']
['431', '29', '786', '951', '636', '748', '110', '915', '302', '434', '623', '895', '565', '924', '886', '551', '601', '362']
['947', '455', '545', '201', '572', '229', '807', '327', '231', '742', '866', '153', '653', '644', '980', '51', '237', '616']
['549', '605', '937', '993', '306', '842', '195', '76', '108', '350', '44', '345', '738', '502', '680', '785', '105', '91']
['158', '68', '898', '399', '521', '747', '112', '865', '861', '972', '467', '126', '361', '548', '614', '662', '263', '333']
['127', '752', '670', '874', '643', '364', '936', '695', '54', '792', '969', '141', '711', '100', '481', '789', '889', '461']
['917', '379', '954', '142', '706', '514', '257', '6', '558', '409', '12', '710', '348', '568', '809', '97', '401', '446']
['977', '731', '169', '398', '266', '651', '338', '701', '269', '896', '60', '274', '246', '402', '397', '376', '180', '755']
