['0', '246', '416', '862', '220', '94', '784', '750', '973', '7', '388', '697', '910', '68', '10', '111', '478', '184', '200', '93', '514', '879', '484', '399', '148', '886', '629', '979', '332', '458', '957', '747', '267', '739', '905', '524', '706', '573', '909', '152', '796']
['640', '20', '368', '612', '239', '870', '758', '572', '548', '90', '43', '407', '789', '962', '635', '722', '989', '836', '872', '975', '473', '36', '386', '95', '14', '587', '859', '712', '125', '749', '848', '677', '76', '494', '276', '645', '262', '251', '786', '418', '977']
['529', '499', '240', '540', '538', '306', '181', '25', '26', '33', '248', '97', '225', '762', '699', '803', '563', '748', '176', '1', '945', '757', '87', '624', '918', '464', '191', '952', '933', '80', '554', '929', '215', '653', '441', '376', '875', '4', '936', '641', '5']
['319', '690', '753', '681', '842', '863', '606', '415', '506', '901', '790', '6', '218', '338', '655', '47', '868', '91', '849', '123', '544', '312', '620', '32', '691', '81', '637', '8', '565', '190', '136', '953', '884', '914', '476', '422', '374', '818', '245', '668', '63']
['109', '370', '772', '920', '493', '628', '845', '52', '528', '501', '414', '584', '259', '222', '132', '779', '309', '595', '264', '398', '310', '598', '275', '273', '915', '590', '614', '596', '170', '378', '942', '760', '296', '221', '363', '644', '163', '197', '693', '865', '574']
['224', '705', '788', '253', '851', '663', '361', '350', '743', '444', '64', '459', '238', '142', '724', '558', '768', '263', '602', '196', '255', '516', '581', '369', '122', '813', '545', '944', '648', '12', '282', '481', '787', '343', '603', '126', '934', '508', '268', '280', '539']
['13', '193', '195', '410', '649', '289', '688', '994', '194', '646', '425', '42', '837', '375', '541', '844', '740', '467', '993', '15', '531', '38', '811', '626', '941', '503', '567', '331', '21', '896', '617', '969', '98', '990', '16', '323', '725', '28', '392', '710', '636']
['440', '513', '44', '775', '805', '782', '438', '135', '718', '829', '495', '723', '466', '66', '30', '882', '265', '385', '366', '31', '393', '34', '401', '793', '719', '785', '534', '229', '671', '37', '472', '56', '39', '564', '877', '798', '212', '266', '894', '116', '981']
['40', '227', '75', '288', '605', '634', '926', '45', '569', '857', '856', '791', '231', '316', '46', '107', '521', '523', '921', '928', '647', '480', '53', '932', '832', '157', '307', '161', '48', '703', '939', '498', '235', '155', '140', '692', '295', '108', '658', '715', '950']
['854', '49', '159', '482', '988', '543', '223', '284', '855', '754', '51', '167', '460', '638', '382', '982', '496', '247', '84', '187', '360', '404', '260', '55', '395', '261', '764', '178', '559', '940', '475', '462', '403', '949', '185', '65', '730', '439', '621', '67', '946']
['198', '815', '578', '429', '311', '551', '700', '729', '250', '456', '527', '287', '869', '272', '69', '903', '742', '153', '984', '597', '70', '189', '686', '657', '71', '755', '672', '738', '129', '73', '317', '301', '92', '741', '207', '625', '349', '281', '586', '352', '269']
['594', '329', '345', '96', '904', '860', '103', '405', '279', '509', '452', '925', '999', '532', '483', '463', '736', '898', '165', '112', '172', '675', '976', '330', '799', '955', '966', '362', '776', '120', '965', '763', '717', '278', '420', '838', '560', '656', '175', '583', '124']
['406', '745', '428', '631', '210', '131', '502', '339', '139', '938', '987', '734', '843', '146', '683', '880', '149', '883', '824', '485', '156', '421', '334', '202', '169', '679', '409', '570', '389', '461', '171', '365', '696', '589', '831', '174', '192', '802', '457', '912', '510']
['179', '326', '325', '186', '899', '830', '206', '997', '707', '792', '756', '211', '542', '961', '431', '237', '512', '673', '453', '286', '871', '891', '292', '427', '800', '454', '328', '577', '797', '599', '337', '794', '807', '535', '822', '549', '347', '669', '451', '995', '379']
